Municipio,Ano,Produtividade
1101104,2008,602
1101104,2009,602
1101104,2010,485
1101104,2011,129
1101104,2012,429
1101104,2013,500
1101104,2014,600
1100114,1990,584
1100114,1991,600
1100114,1992,449
1100114,1993,449
1100114,1994,539
1100114,1995,600
1100114,1996,699
1100114,1997,600
1100114,1998,600
1100114,1999,479
1100114,2000,600
1100114,2001,600
1100114,2002,599
1100114,2003,600
1100114,2004,299
1100114,2005,180
1100114,2006,600
1100114,2007,600
1100114,2008,600
1100114,2009,600
1100114,2010,239
1100114,2011,600
1100114,2012,428
1100114,2013,788
1100114,2014,1312
1100122,1990,504
1100122,1991,400
1100122,1992,570
1100122,1993,720
1100122,1994,684
1100122,1995,683
1100122,1996,800
1100122,1997,799
1100122,1998,800
1100122,1999,600
1100122,2000,600
1100122,2001,600
1100122,2002,599
1100122,2003,600
1100122,2004,420
1100122,2005,540
1100122,2006,600
1100122,2007,600
1100122,2008,600
1100122,2009,599
1100122,2010,29
1100122,2011,450
1100122,2012,450
1100122,2013,448
1100122,2014,444
1100130,1990,400
1100130,1991,500
1100130,1992,500
1100130,1993,450
1100130,1994,480
1100130,1995,480
1100130,1996,500
1100130,1997,399
1100130,1998,250
1100130,1999,350
1100130,2000,380
1100130,2001,379
1100130,2002,400
1100130,2003,500
1100130,2004,500
1100130,2005,120
1100130,2006,360
1100130,2007,480
1100130,2008,450
1100130,2009,406
1100130,2010,80
1100130,2011,450
1100130,2012,646
1100130,2013,600
1100130,2014,600
1101203,1990,-
1101203,1991,-
1101203,1992,-
1101203,1993,419
1101203,1994,420
1101203,1995,419
1101203,1996,599
1101203,1997,600
1101203,1998,300
1101203,1999,400
1101203,2000,550
1101203,2001,599
1101203,2002,479
1101203,2003,460
1101203,2004,240
1101203,2005,421
1101203,2006,420
1101203,2007,420
1101203,2008,420
1101203,2009,420
1101203,2010,90
1101203,2011,420
1101203,2012,420
1101203,2013,335
1101203,2014,335
1101302,1990,-
1101302,1991,-
1101302,1992,-
1101302,1993,849
1101302,1994,850
1101302,1995,850
1101302,1996,800
1101302,1997,800
1101302,1998,800
1101302,1999,800
1101302,2000,509
1101302,2001,510
1101302,2002,508
1101302,2003,599
1101302,2004,599
1101302,2005,419
1101302,2006,600
1101302,2007,600
1101302,2008,599
1101302,2009,500
1101302,2010,99
1101302,2011,420
1101302,2012,420
1101302,2013,600
1101302,2014,700
1101401,1990,-
1101401,1991,-
1101401,1992,-
1101401,1993,450
1101401,1994,438
1101401,1995,430
1101401,1996,500
1101401,1997,400
1101401,1998,350
1101401,1999,400
1101401,2000,480
1101401,2001,480
1101401,2002,480
1101401,2003,479
1101401,2004,480
1101401,2005,180
1101401,2006,400
1101401,2007,400
1101401,2008,400
1101401,2009,400
1101401,2010,39
1101401,2011,361
1101401,2012,361
1101401,2013,486
1101401,2014,480
1100148,1990,700
1100148,1991,599
1100148,1992,540
1100148,1993,600
1100148,1994,480
1100148,1995,600
1100148,1996,599
1100148,1997,599
1100148,1998,600
1100148,1999,557
1100148,2000,600
1100148,2001,600
1100148,2002,600
1100148,2003,900
1100148,2004,720
1100148,2005,600
1100148,2006,600
1100148,2007,720
1100148,2008,720
1100148,2009,540
1100148,2010,154
1100148,2011,421
1100148,2012,360
1100148,2013,361
1100148,2014,361
1100338,1990,400
1100338,1991,400
1100338,1992,100
1100338,1993,400
1100338,1994,400
1100338,1995,300
1100338,1996,399
1100338,1997,399
1100338,1998,300
1100338,1999,400
1100338,2000,300
1100338,2001,300
1100338,2002,304
1100338,2003,400
1100338,2004,541
1100338,2005,540
1100338,2006,300
1100338,2007,359
1100338,2008,420
1100338,2009,300
1100338,2010,384
1100338,2011,300
1100338,2012,300
1100338,2013,300
1100338,2014,300
1101435,1990,-
1101435,1991,-
1101435,1992,-
1101435,1993,-
1101435,1994,-
1101435,1995,-
1101435,1996,-
1101435,1997,500
1101435,1998,500
1101435,1999,500
1101435,2000,600
1101435,2001,600
1101435,2002,600
1101435,2003,600
1101435,2004,479
1101435,2005,389
1101435,2006,600
1101435,2007,390
1101435,2008,600
1101435,2009,600
1101435,2010,150
1101435,2011,420
1101435,2012,600
1101435,2013,600
1101435,2014,500
1100502,1990,-
1100502,1991,-
1100502,1992,-
1100502,1993,539
1100502,1994,540
1100502,1995,659
1100502,1996,700
1100502,1997,699
1100502,1998,700
1100502,1999,700
1100502,2000,599
1100502,2001,600
1100502,2002,599
1100502,2003,719
1100502,2004,599
1100502,2005,479
1100502,2006,479
1100502,2007,479
1100502,2008,480
1100502,2009,480
1100502,2010,47
1100502,2011,480
1100502,2012,480
1100502,2013,479
1100502,2014,479
1100155,1990,720
1100155,1991,595
1100155,1992,350
1100155,1993,720
1100155,1994,720
1100155,1995,720
1100155,1996,599
1100155,1997,499
1100155,1998,500
1100155,1999,500
1100155,2000,599
1100155,2001,799
1100155,2002,600
1100155,2003,600
1100155,2004,360
1100155,2005,300
1100155,2006,500
1100155,2007,500
1100155,2008,500
1100155,2009,500
1100155,2010,50
1100155,2011,420
1100155,2012,420
1100155,2013,600
1100155,2014,600
1101450,1990,-
1101450,1991,-
1101450,1992,-
1101450,1993,-
1101450,1994,-
1101450,1995,-
1101450,1996,-
1101450,1997,899
1101450,1998,660
1101450,1999,660
1101450,2000,600
1101450,2001,600
1101450,2002,599
1101450,2003,600
1101450,2004,599
1101450,2005,600
1101450,2006,600
1101450,2007,600
1101450,2008,660
1101450,2009,600
1101450,2010,60
1101450,2011,600
1101450,2012,600
1101450,2013,600
1101450,2014,600
1100189,1990,420
1100189,1991,500
1100189,1992,400
1100189,1993,400
1100189,1994,600
1100189,1995,600
1100189,1996,900
1100189,1997,900
1100189,1998,480
1100189,1999,480
1100189,2000,600
1100189,2001,480
1100189,2002,500
1100189,2003,600
1100189,2004,599
1100189,2005,419
1100189,2006,419
1100189,2007,419
1100189,2008,420
1100189,2009,420
1100189,2010,26
1100189,2011,420
1100189,2012,240
1100189,2013,240
1100189,2014,720
1101468,1990,-
1101468,1991,-
1101468,1992,-
1101468,1993,-
1101468,1994,-
1101468,1995,-
1101468,1996,-
1101468,1997,600
1101468,1998,59
1101468,1999,503
1101468,2000,601
1101468,2001,600
1101468,2002,600
1101468,2003,300
1101468,2004,300
1101468,2005,320
1101468,2006,360
1101468,2007,416
1101468,2008,-
1101468,2009,266
1101468,2010,-
1101468,2011,-
1101468,2012,500
1101468,2013,600
1101468,2014,-
1100205,1990,400
1100205,1991,400
1100205,1992,400
1100205,1993,600
1100205,1994,401
1100205,1995,410
1100205,1996,700
1100205,1997,700
1100205,1998,699
1100205,1999,420
1100205,2000,600
1100205,2001,500
1100205,2002,400
1100205,2003,600
1100205,2004,599
1100205,2005,346
1100205,2006,290
1100205,2007,290
1100205,2008,431
1100205,2009,496
1100205,2010,368
1100205,2011,600
1100205,2012,600
1100205,2013,251
1100205,2014,697
1100254,1990,450
1100254,1991,450
1100254,1992,450
1100254,1993,550
1100254,1994,720
1100254,1995,720
1100254,1996,900
1100254,1997,800
1100254,1998,800
1100254,1999,480
1100254,2000,600
1100254,2001,600
1100254,2002,599
1100254,2003,600
1100254,2004,600
1100254,2005,300
1100254,2006,600
1100254,2007,400
1100254,2008,600
1100254,2009,600
1100254,2010,30
1100254,2011,480
1100254,2012,480
1100254,2013,800
1100254,2014,500
1101476,1990,-
1101476,1991,-
1101476,1992,-
1101476,1993,-
1101476,1994,-
1101476,1995,-
1101476,1996,-
1101476,1997,900
1101476,1998,479
1101476,1999,600
1101476,2000,600
1101476,2001,600
1101476,2002,479
1101476,2003,419
1101476,2004,359
1101476,2005,360
1101476,2006,420
1101476,2007,420
1101476,2008,660
1101476,2009,660
1101476,2010,70
1101476,2011,600
1101476,2012,600
1101476,2013,600
1101476,2014,600
1100262,1990,-
1100262,1991,-
1100262,1992,-
1100262,1993,298
1100262,1994,238
1100262,1995,600
1100262,1996,398
1100262,1997,396
1100262,1998,400
1100262,1999,377
1100262,2000,600
1100262,2001,601
1100262,2002,601
1100262,2003,601
1100262,2004,361
1100262,2005,84
1100262,2006,399
1100262,2007,337
1100262,2008,418
1100262,2009,418
1100262,2010,33
1100262,2011,540
1100262,2012,600
1100262,2013,356
1100262,2014,400
1100288,1990,600
1100288,1991,600
1100288,1992,540
1100288,1993,539
1100288,1994,600
1100288,1995,600
1100288,1996,799
1100288,1997,800
1100288,1998,480
1100288,1999,480
1100288,2000,599
1100288,2001,599
1100288,2002,600
1100288,2003,600
1100288,2004,600
1100288,2005,600
1100288,2006,359
1100288,2007,600
1100288,2008,600
1100288,2009,600
1100288,2010,119
1100288,2011,480
1100288,2012,873
1100288,2013,1162
1100288,2014,480
1100296,1990,840
1100296,1991,600
1100296,1992,420
1100296,1993,500
1100296,1994,540
1100296,1995,600
1100296,1996,1100
1100296,1997,1100
1100296,1998,719
1100296,1999,719
1100296,2000,599
1100296,2001,900
1100296,2002,900
1100296,2003,900
1100296,2004,839
1100296,2005,750
1100296,2006,900
1100296,2007,900
1100296,2008,900
1100296,2009,800
1100296,2010,144
1100296,2011,800
1100296,2012,800
1100296,2013,1200
1100296,2014,480
1101484,1990,-
1101484,1991,-
1101484,1992,-
1101484,1993,-
1101484,1994,-
1101484,1995,-
1101484,1996,-
1101484,1997,900
1101484,1998,659
1101484,1999,659
1101484,2000,599
1101484,2001,600
1101484,2002,660
1101484,2003,660
1101484,2004,660
1101484,2005,660
1101484,2006,660
1101484,2007,660
1101484,2008,659
1101484,2009,660
1101484,2010,179
1101484,2011,660
1101484,2012,660
1101484,2013,660
1101484,2014,660
1101492,1990,-
1101492,1991,-
1101492,1992,-
1101492,1993,-
1101492,1994,-
1101492,1995,-
1101492,1996,-
1101492,1997,500
1101492,1998,500
1101492,1999,500
1101492,2000,600
1101492,2001,600
1101492,2002,299
1101492,2003,600
1101492,2004,600
1101492,2005,600
1101492,2006,150
1101492,2007,600
1101492,2008,600
1101492,2009,600
1101492,2010,40
1101492,2011,419
1101492,2012,420
1101492,2013,500
1101492,2014,500
1100320,1990,540
1100320,1991,500
1100320,1992,350
1100320,1993,350
1100320,1994,540
1100320,1995,540
1100320,1996,599
1100320,1997,599
1100320,1998,599
1100320,1999,420
1100320,2000,600
1100320,2001,599
1100320,2002,480
1100320,2003,480
1100320,2004,479
1100320,2005,371
1100320,2006,420
1100320,2007,320
1100320,2008,320
1100320,2009,320
1100320,2010,29
1100320,2011,480
1100320,2012,480
1100320,2013,480
1100320,2014,1200
1101500,1990,-
1101500,1991,-
1101500,1992,-
1101500,1993,350
1101500,1994,600
1101500,1995,600
1101500,1996,500
1101500,1997,500
1101500,1998,500
1101500,1999,500
1101500,2000,600
1101500,2001,599
1101500,2002,360
1101500,2003,419
1101500,2004,419
1101500,2005,480
1101500,2006,240
1101500,2007,240
1101500,2008,479
1101500,2009,479
1101500,2010,29
1101500,2011,480
1101500,2012,480
1101500,2013,478
1101500,2014,600
1101559,1990,-
1101559,1991,-
1101559,1992,-
1101559,1993,-
1101559,1994,-
1101559,1995,-
1101559,1996,-
1101559,1997,500
1101559,1998,500
1101559,1999,500
1101559,2000,420
1101559,2001,419
1101559,2002,420
1101559,2003,719
1101559,2004,420
1101559,2005,480
1101559,2006,420
1101559,2007,240
1101559,2008,480
1101559,2009,599
1101559,2010,50
1101559,2011,420
1101559,2012,300
1101559,2013,600
1101559,2014,596
1101609,1990,-
1101609,1991,-
1101609,1992,-
1101609,1993,200
1101609,1994,25
1101609,1995,600
1101609,1996,502
1101609,1997,500
1101609,1998,502
1101609,1999,500
1101609,2000,600
1101609,2001,480
1101609,2002,480
1101609,2003,481
1101609,2004,359
1101609,2005,119
1101609,2006,240
1101609,2007,318
1101609,2008,479
1101609,2009,336
1101609,2010,168
1101609,2011,168
1101609,2012,240
1101609,2013,600
1101609,2014,550
1101708,1990,-
1101708,1991,-
1101708,1992,-
1101708,1993,600
1101708,1994,600
1101708,1995,850
1101708,1996,700
1101708,1997,699
1101708,1998,700
1101708,1999,700
1101708,2000,500
1101708,2001,500
1101708,2002,600
1101708,2003,599
1101708,2004,419
1101708,2005,480
1101708,2006,479
1101708,2007,420
1101708,2008,600
1101708,2009,599
1101708,2010,80
1101708,2011,600
1101708,2012,400
1101708,2013,720
1101708,2014,480
1101757,1990,-
1101757,1991,-
1101757,1992,-
1101757,1993,-
1101757,1994,-
1101757,1995,-
1101757,1996,-
1101757,1997,398
1101757,1998,400
1101757,1999,400
1101757,2000,600
1101757,2001,600
1101757,2002,598
1101757,2003,600
1101757,2004,600
1101757,2005,300
1101757,2006,480
1101757,2007,480
1101757,2008,480
1101757,2009,407
1101757,2010,61
1101757,2011,360
1101757,2012,360
1101757,2013,300
1101757,2014,600
1101807,1990,-
1101807,1991,-
1101807,1992,-
1101807,1993,600
1101807,1994,600
1101807,1995,600
1101807,1996,807
1101807,1997,400
1101807,1998,500
1101807,1999,500
1101807,2000,599
1101807,2001,599
1101807,2002,420
1101807,2003,600
1101807,2004,480
1101807,2005,432
1101807,2006,450
1101807,2007,400
1101807,2008,600
1101807,2009,496
1101807,2010,29
1101807,2011,420
1101807,2012,600
1101807,2013,600
1101807,2014,600
1100304,1990,600
1100304,1991,500
1100304,1992,80
1100304,1993,400
1100304,1994,400
1100304,1995,600
1100304,1996,600
1100304,1997,600
1100304,1998,600
1100304,1999,500
1100304,2000,600
1100304,2001,800
1100304,2002,-
1100304,2003,1200
1100304,2004,1500
1100304,2005,720
1100304,2006,600
1100304,2007,1200
1100304,2008,1200
1100304,2009,600
1100304,2010,119
1100304,2011,760
1100304,2012,1220
1100304,2013,1500
1100304,2014,600
1200013,1990,-
1200013,1991,-
1200013,1992,-
1200013,1993,966
1200013,1994,604
1200013,1995,600
1200013,1996,365
1200013,1997,364
1200013,1998,500
1200013,1999,400
1200013,2000,400
1200013,2001,1000
1200013,2002,800
1200013,2003,500
1200013,2004,600
1200013,2005,300
1200013,2006,422
1200013,2007,500
1200013,2008,615
1200013,2009,645
1200013,2010,620
1200013,2011,479
1200013,2012,451
1200013,2013,600
1200013,2014,500
1200054,1990,500
1200054,1991,500
1200054,1992,500
1200054,1993,509
1200054,1994,500
1200054,1995,500
1200054,1996,342
1200054,1997,343
1200054,1998,343
1200054,1999,449
1200054,2000,449
1200054,2001,600
1200054,2002,550
1200054,2003,550
1200054,2004,550
1200054,2005,300
1200054,2006,375
1200054,2007,500
1200054,2008,558
1200054,2009,654
1200054,2010,540
1200054,2011,500
1200054,2012,600
1200054,2013,601
1200054,2014,660
1200104,1990,500
1200104,1991,500
1200104,1992,500
1200104,1993,505
1200104,1994,500
1200104,1995,500
1200104,1996,530
1200104,1997,530
1200104,1998,500
1200104,1999,500
1200104,2000,500
1200104,2001,500
1200104,2002,500
1200104,2003,500
1200104,2004,500
1200104,2005,300
1200104,2006,450
1200104,2007,500
1200104,2008,500
1200104,2009,500
1200104,2010,650
1200104,2011,500
1200104,2012,600
1200104,2013,581
1200104,2014,646
1200138,1990,-
1200138,1991,-
1200138,1992,-
1200138,1993,531
1200138,1994,600
1200138,1995,600
1200138,1996,436
1200138,1997,436
1200138,1998,700
1200138,1999,600
1200138,2000,700
1200138,2001,600
1200138,2002,450
1200138,2003,450
1200138,2004,500
1200138,2005,200
1200138,2006,461
1200138,2007,500
1200138,2008,500
1200138,2009,500
1200138,2010,500
1200138,2011,327
1200138,2012,400
1200138,2013,500
1200138,2014,553
1200179,1990,-
1200179,1991,-
1200179,1992,-
1200179,1993,532
1200179,1994,529
1200179,1995,500
1200179,1996,584
1200179,1997,583
1200179,1998,583
1200179,1999,521
1200179,2000,521
1200179,2001,649
1200179,2002,500
1200179,2003,500
1200179,2004,400
1200179,2005,300
1200179,2006,400
1200179,2007,500
1200179,2008,660
1200179,2009,500
1200179,2010,650
1200179,2011,276
1200179,2012,449
1200179,2013,500
1200179,2014,500
1200203,1990,600
1200203,1991,599
1200203,1992,600
1200203,1993,640
1200203,1994,604
1200203,1995,602
1200203,1996,862
1200203,1997,622
1200203,1998,600
1200203,1999,601
1200203,2000,605
1200203,2001,599
1200203,2002,600
1200203,2003,600
1200203,2004,600
1200203,2005,600
1200203,2006,599
1200203,2007,600
1200203,2008,500
1200203,2009,500
1200203,2010,500
1200203,2011,480
1200203,2012,550
1200203,2013,600
1200203,2014,657
1200252,1990,-
1200252,1991,-
1200252,1992,-
1200252,1993,505
1200252,1994,500
1200252,1995,500
1200252,1996,363
1200252,1997,362
1200252,1998,500
1200252,1999,500
1200252,2000,500
1200252,2001,500
1200252,2002,600
1200252,2003,500
1200252,2004,500
1200252,2005,300
1200252,2006,400
1200252,2007,500
1200252,2008,550
1200252,2009,680
1200252,2010,600
1200252,2011,500
1200252,2012,483
1200252,2013,600
1200252,2014,502
1200302,1990,400
1200302,1991,400
1200302,1992,403
1200302,1993,504
1200302,1994,500
1200302,1995,500
1200302,1996,652
1200302,1997,649
1200302,1998,598
1200302,1999,491
1200302,2000,410
1200302,2001,400
1200302,2002,421
1200302,2003,500
1200302,2004,500
1200302,2005,500
1200302,2006,505
1200302,2007,500
1200302,2008,553
1200302,2009,500
1200302,2010,500
1200302,2011,500
1200302,2012,694
1200302,2013,600
1200302,2014,652
1200328,1990,-
1200328,1991,-
1200328,1992,-
1200328,1993,387
1200328,1994,619
1200328,1995,594
1200328,1996,605
1200328,1997,600
1200328,1998,404
1200328,1999,400
1200328,2000,417
1200328,2001,420
1200328,2002,433
1200328,2003,500
1200328,2004,500
1200328,2005,500
1200328,2006,500
1200328,2007,500
1200328,2008,500
