Municipio,Ano,Vacas
1100924,1980,-
1100924,1981,-
1100924,1982,-
1100924,1983,-
1100924,1984,-
1100924,1985,-
1100924,1986,-
1100924,1987,-
1100924,1988,-
1100924,1989,-
1100924,1990,-
1100924,1991,-
1100924,1992,-
1100924,1993,-
1100924,1994,-
1100924,1995,-
1100924,1996,-
1100924,1997,1518
1100924,1998,7045
1100924,1999,1483
1100924,2000,1624
1100924,2001,4909
1100924,2002,5045
1100924,2003,800
1100924,2004,831
1100924,2005,767
1100924,2006,969
1100924,2007,1087
1100924,2008,1304
1100924,2009,1303
1100924,2010,1607
1100924,2011,821
1100924,2012,862
1100924,2013,900
1100924,2014,4808
1100064,1974,-
1100064,1975,-
1100064,1976,-
1100064,1977,-
1100064,1978,-
1100064,1979,-
1100064,1980,-
1100064,1981,-
1100064,1982,1600
1100064,1983,4968
1100064,1984,4050
1100064,1985,5585
1100064,1986,4374
1100064,1987,4738
1100064,1988,6496
1100064,1989,7404
1100064,1990,11899
1100064,1991,14278
1100064,1992,39150
1100064,1993,6750
1100064,1994,3938
1100064,1995,6622
1100064,1996,7391
1100064,1997,8125
1100064,1998,6822
1100064,1999,9704
1100064,2000,10529
1100064,2001,9007
1100064,2002,11696
1100064,2003,12444
1100064,2004,13263
1100064,2005,12955
1100064,2006,14703
1100064,2007,14348
1100064,2008,14492
1100064,2009,15381
1100064,2010,18279
1100064,2011,12694
1100064,2012,13329
1100064,2013,14318
1100064,2014,15133
1100072,1974,-
1100072,1975,-
1100072,1976,-
1100072,1977,-
1100072,1978,-
1100072,1979,-
1100072,1980,-
1100072,1981,-
1100072,1982,-
1100072,1983,-
1100072,1984,-
1100072,1985,-
1100072,1986,-
1100072,1987,-
1100072,1988,-
1100072,1989,-
1100072,1990,-
1100072,1991,-
1100072,1992,-
1100072,1993,33960
1100072,1994,7607
1100072,1995,7607
1100072,1996,5485
1100072,1997,5547
1100072,1998,6602
1100072,1999,7303
1100072,2000,7887
1100072,2001,9563
1100072,2002,10279
1100072,2003,9751
1100072,2004,9669
1100072,2005,9703
1100072,2006,10966
1100072,2007,12374
1100072,2008,16371
1100072,2009,16852
1100072,2010,18038
1100072,2011,15370
1100072,2012,16138
1100072,2013,17135
1100072,2014,14176
1100080,1974,-
1100080,1975,-
1100080,1976,-
1100080,1977,-
1100080,1978,-
1100080,1979,-
1100080,1980,-
1100080,1981,-
1100080,1982,700
1100080,1983,1440
1100080,1984,1620
1100080,1985,4470
1100080,1986,3674
1100080,1987,4592
1100080,1988,3115
1100080,1989,4230
1100080,1990,4423
1100080,1991,4843
1100080,1992,5328
1100080,1993,6926
1100080,1994,997
1100080,1995,1047
1100080,1996,911
1100080,1997,314
1100080,1998,441
1100080,1999,830
1100080,2000,913
1100080,2001,1732
1100080,2002,2179
1100080,2003,1430
1100080,2004,1820
1100080,2005,2183
1100080,2006,2144
1100080,2007,2406
